Customer ID,Customer Name,Loyalty Reward Points,Segment,Date,Fraction
AA-10315,Alex Avila,76,Consumer,01/01/2000,7.6
AA-10375,Allen Armold,369,Consumer,02/01/2000,36.9
AA-10480,Andrew Allen,162,Consumer,03/01/2000,16.2
AA-10645,Anna Andreadi,803,Consumer,04/01/2000,80.3
AB-10015,Aaron Bergman,935,Consumer,05/01/2000,93.5
AB-10060,Adam Bellavance,643,Home Office,06/01/2000,64.3
AB-10105,Adrian Barton,373,Consumer,07/01/2000,37.3
AB-10150,Aimee Bixby,386,Consumer,08/01/2000,38.6
AB-10165,Alan Barnes,114,Consumer,09/01/2000,11.4
AB-10255,Alejandro Ballentine,633,Home Office,10/01/2000,63.3
AB-10600,Ann Blume,345,Corporate,11/01/2000,34.5
AC-10420,Alyssa Crouse,149,Corporate,12/01/2000,14.9
AC-10450,Amy Cox,506,Consumer,13/01/2000,50.6
AC-10615,Ann Chong,518,Corporate,14/01/2000,51.8
AC-10660,Anna Chung,849,Consumer,15/01/2000,84.9
AD-10180,Alan Dominguez,240,Home Office,16/01/2000,24.0
AF-10870,Art Ferguson,273,Consumer,17/01/2000,27.3
AF-10885,Art Foster,610,Consumer,18/01/2000,61.0
AG-10270,Alejandro Grove,515,Consumer,19/01/2000,51.5
AG-10300,Aleksandra Gannaway,842,Corporate,20/01/2000,84.2
AG-10330,Alex Grayson,498,Consumer,21/01/2000,49.8
AG-10390,Allen Goldenen,889,Consumer,22/01/2000,88.9
AG-10495,Andrew Gjertsen,385,Corporate,23/01/2000,38.5
AG-10525,Andy Gerbode,832,Corporate,24/01/2000,83.2
AG-10675,Anna Gayman,315,Consumer,25/01/2000,31.5
AG-10765,Anthony Garverick,197,Home Office,26/01/2000,19.7
AG-10900,Arthur Gainer,184,Consumer,27/01/2000,18.4
AH-10030,Aaron Hawkins,745,Corporate,28/01/2000,74.5
AH-10075,Adam Hart,919,Corporate,29/01/2000,91.9
AH-10120,Adrian Hane,592,Home Office,30/01/2000,59.2
AH-10195,Alan Haines,359,Corporate,31/01/2000,35.9
AH-10210,Alan Hwang,859,Consumer,01/02/2000,85.9
AH-10465,Amy Hunt,689,Consumer,02/02/2000,68.9
AH-10585,Angele Hood,923,Consumer,03/02/2000,92.3
AH-10690,Anna Häberlin,770,Corporate,04/02/2000,77.0
AI-10855,Arianne Irving,993,Consumer,05/02/2000,99.3
AJ-10780,Anthony Jacobs,765,Corporate,06/02/2000,76.5
AJ-10795,Anthony Johnson,828,Corporate,07/02/2000,82.8
AJ-10945,Ashley Jarboe,509,Consumer,08/02/2000,50.9
AJ-10960,Astrea Jones,892,Consumer,09/02/2000,89.2
AM-10360,Alice McCarthy,869,Corporate,10/02/2000,86.9
AM-10705,Anne McFarland,514,Consumer,11/02/2000,51.4
AO-10810,Anthony O'Donnell,105,Corporate,12/02/2000,10.5
AP-10720,Anne Pryor,951,Home Office,13/02/2000,95.1
AP-10915,Arthur Prichep,49,Consumer,14/02/2000,4.9
AR-10345,Alex Russell,468,Corporate,15/02/2000,46.8
AR-10405,Allen Rosenblatt,31,Corporate,16/02/2000,3.1
AR-10510,Andrew Roberts,968,Consumer,17/02/2000,96.8
AR-10540,Andy Reiter,957,Consumer,18/02/2000,95.7
AR-10570,Anemone Ratner,538,Consumer,19/02/2000,53.8
AR-10825,Anthony Rawles,208,Corporate,20/02/2000,20.8
AS-10045,Aaron Smayling,276,Corporate,21/02/2000,27.6
AS-10090,Adam Shillingsburg,594,Consumer,22/02/2000,59.4
AS-10135,Adrian Shami,593,Home Office,23/02/2000,59.3
